# 格式: 标准名称|别名1,别名2,别名3,...
4KUHD|纯享4K,纯享4k
CCTV-4 中文国际|CCTV-4 (亚洲)
CCTV-4 欧洲|CCTV-4 (欧洲),CCTV-4 中文国际欧洲,CCTV4欧洲
CCTV-4 美洲|CCTV-4 (美洲),CCTV-4 中文国际美洲,CCTV4美洲
CCTV4K|CCTV-4K,CCTV4K 超高清
CCTV8K|CCTV-8K,CCTV8K 超高清
CCTV兵器科技|兵器科技,CCTV-兵器科技
CCTV卫生健康|卫生健康,CCTV-卫生健康
CETV1|CETV-1,教育一套,中国教育一套,中国教育1套,中国教育1
CETV2|CETV-2,教育二套,中国教育二套,中国教育2套,中国教育2
CETV3|CETV-3,教育三套,中国教育三套,中国教育3套,中国教育3
CETV4|CETV-4,教育四套,中国教育四套,中国教育4套,中国教育4
CETV早期教育|早期教育,CCTV早期教育
CGTN俄语|CCTV-Русский,CGTN俄罗斯语
CGTN法语|CCTV-Français
CGTN西语|CCTV-Español,CGTN西班牙语
CGTN阿语|CCTV-العربية,CGTN阿拉伯语
CGTN纪录|CCTV-9 纪录(英),CCTV-News
CCTV-16 奥林匹克|CCTV-16奥林匹克,央视奥林匹克
CCTV-17 农业农村|CCTV-17农业农村
广东卫视4K|广东卫视 4K,广东卫视4K超高清
深圳卫视4K|深圳卫视 4K,深圳卫视4K超高清
北京卫视4K|北京卫视 4K,北京卫视4K超高清
东方卫视4K|东方卫视 4K,东方卫视4K超高清
湖南卫视4K|湖南卫视 4K,湖南卫视4K超高清
四川卫视4K|四川卫视 4K,四川卫视4K超高清
山东卫视4K|山东卫视 4K,山东卫视4K超高清
浙江卫视4K|浙江卫视 4K,浙江卫视4K超高清
江苏卫视4K|江苏卫视 4K,江苏卫视4K超高清
江西陶瓷|陶瓷,taoci
中央新影-中学生|中学生,CCTV中学生,CCTV-中学生,cctv中学生,cctv-中学生
中央新影-老故事|老故事,CCTV老故事,CCTV-老故事,cctv老故事,cctv-老故事
中央新影-发现之旅|发现之旅,CCTV发现之旅,CCTV-发现之旅,cctv发现之旅,cctv-发现之旅
4KUHD|纯享4K,4KUH,4ku,4KU,UHD,4KUHD
茶频道|茶,湖南茶频道,湖南茶,茶频道
品质大剧|东方品质大剧,上海品质大剧,上海品质,东方品质,品质大剧
三立戏剧台|三立戲劇台,三立戲劇,三立戏剧,三立戏剧台
AMC电影台|AMC,AMC电影,AMC电影台,amc电影台
